City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Angoche,MZ,-16.2325,39.9086,67.68,83,46,10.4,light rain
281,Severnyy,RU,50.677,36.5532,69.84,49,0,4.47,clear sky
282,Fredericksburg,US,38.3032,-77.4605,94.17,59,40,1.01,scattered clouds
283,Anadyr,RU,64.75,177.4833,52.3,87,75,17.0,moderate rain
284,Quatre Cocos,MU,-20.2078,57.7625,68.11,78,66,13.71,light rain
285,Hamilton,US,39.1834,-84.5333,90.45,47,40,1.99,scattered clouds
286,Javanrud,IR,34.7961,46.5172,81.91,19,12,5.88,few clouds
287,Ler,SS,8.3018,30.1418,67.28,91,97,4.38,overcast clouds
288,Port-Gentil,GA,-0.7193,8.7815,76.96,83,75,9.22,broken clouds
289,Hithadhoo,MV,-0.6,73.0833,80.22,79,96,8.16,overcast clouds
290,Novobirilyussy,RU,56.9514,90.6661,63.39,98,100,5.35,overcast clouds
291,Katherine,AU,-14.4667,132.2667,61.12,77,98,1.14,overcast clouds
292,Berlevag,NO,70.8578,29.0864,44.96,88,58,1.77,broken clouds
293,Ketchikan,US,55.3422,-131.6461,59.47,88,90,3.44,moderate rain
294,Kyshtovka,RU,56.555,76.6271,47.26,86,5,7.18,clear sky
295,Svetlogorsk,BY,52.6333,29.7333,65.21,64,46,6.87,scattered clouds
296,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,87,46,6.64,scattered clouds
297,Strezhevoy,RU,60.7333,77.5889,53.58,89,78,10.09,broken clouds
298,Atar,MR,20.5169,-13.0499,97.54,17,24,5.73,few clouds
299,Malinovoye Ozero,RU,51.6753,79.7825,58.46,83,0,5.61,clear sky
300,Yagoua,CM,10.3411,15.2329,73.18,87,100,3.33,overcast clouds
301,Piopio,NZ,-38.4667,175.0167,51.96,95,91,5.39,overcast clouds
302,Sao Francisco De Assis,BR,-29.5503,-55.1311,61.68,96,94,13.2,overcast clouds
303,Along,IN,28.1667,94.7667,75.45,99,100,1.97,overcast clouds
304,Miraflores,MX,19.2167,-98.8083,74.16,66,90,2.86,overcast clouds
305,Mnogovershinnyy,RU,53.9353,139.9242,67.95,77,100,2.53,overcast clouds
306,Safita,SY,34.8205,36.1153,74.84,81,0,1.81,clear sky
307,Mehriz,IR,31.5917,54.4318,82.9,19,74,6.51,broken clouds
308,Severomorsk,RU,69.0689,33.4162,39.6,92,72,6.73,broken clouds
309,Nuevitas,CU,21.5453,-77.2644,74.64,78,69,4.47,broken clouds
310,Sioux Lookout,CA,50.1001,-91.917,75.27,43,90,5.75,smoke
311,Isla Mujeres,MX,21.2311,-86.731,87.85,68,4,14.29,clear sky
312,Luanda,AO,-8.8368,13.2343,69.44,93,72,5.21,broken clouds
313,Zyryanka,RU,65.75,150.85,53.71,49,62,15.12,broken clouds
314,Ipixuna,BR,-1.7625,-48.8043,84.15,80,62,4.18,broken clouds
315,Aswan,EG,24.0934,32.907,89.04,19,12,10.74,few clouds
